사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 6월 23일 22시,일요일,서울특별시 종로구 신영동,세검정로,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,48세,상해없음,승용,남,70세,경상
2.02E+15,2019년 8월 28일 09시,수요일,서울특별시 종로구 신영동,세검정로,경상사고,0,0,2,1,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,건설기계,남,56세,상해없음,승용,남,70세,경상
2.02E+15,2019년 5월 8일 18시,수요일,서울특별시 종로구 적선동,자하문로,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,50세,경상,승용,남,69세,경상
2.02E+15,2019년 12월 27일 12시,금요일,서울특별시 종로구 사직동,사직로9길,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,41세,경상,화물,남,69세,경상
2.02E+15,2019년 5월 2일 05시,목요일,서울특별시 종로구 세종로,사직로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,승용,여,69세,경상
2.02E+15,2019년 2월 17일 05시,일요일,서울특별시 종로구 세종로,사직로,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,남,69세,경상
2.02E+15,2019년 5월 13일 05시,월요일,서울특별시 종로구 수송동,율곡로,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,상해없음,이륜,남,69세,중상
2.02E+15,2019년 11월 30일 09시,토요일,서울특별시 종로구 인의동,창경궁로,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승합,남,57세,상해없음,승용,남,69세,경상
2.02E+15,2019년 7월 10일 02시,수요일,서울특별시 종로구 종로5가,종로,경상사고,0,0,1,1,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,76세,상해없음,승용,남,69세,경상
2.02E+15,2019년 2월 25일 23시,월요일,서울특별시 종로구 혜화동,창경궁로,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,승용,남,69세,상해없음
2.02E+15,2019년 5월 9일 12시,목요일,서울특별시 종로구 창신동,종로,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,여,37세,상해없음,승합,남,69세,상해없음
2.02E+15,2019년 7월 1일 10시,월요일,서울특별시 종로구 무악동,통일로12길,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,승합,남,69세,기타불명
2.02E+15,2019년 11월 21일 17시,목요일,서울특별시 종로구 창성동,자하문로10길,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,57세,상해없음,승용,남,68세,상해없음
2.02E+15,2019년 11월 30일 11시,토요일,서울특별시 종로구 신문로1가,새문안로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,54세,상해없음,보행자,여,68세,상해없음
2.02E+15,2019년 8월 8일 18시,목요일,서울특별시 종로구 공평동,삼봉로,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,승용,남,68세,경상
2.02E+15,2019년 5월 10일 22시,금요일,서울특별시 종로구 종로4가,종로,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,22세,상해없음,승용,남,68세,경상
2.02E+15,2019년 8월 28일 13시,수요일,서울특별시 종로구 종로5가,종로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,27세,상해없음,보행자,여,68세,중상
2.02E+15,2019년 3월 25일 13시,월요일,서울특별시 종로구 혜화동,혜화로,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,승용,남,68세,경상
2.02E+15,2019년 4월 19일 11시,금요일,서울특별시 종로구 혜화동,대학로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,41세,상해없음,보행자,여,68세,중상
2.02E+15,2019년 10월 15일 08시,화요일,서울특별시 종로구 송월동,통일로8길,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,47세,상해없음,승용,남,68세,경상
2.02E+15,2019년 1월 28일 23시,월요일,서울특별시 종로구 세종로,세종대로23길,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,61세,상해없음,승용,남,67세,경상
2.02E+15,2019년 10월 24일 18시,목요일,서울특별시 종로구 청진동,종로3길,중상사고,0,1,0,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,이륜,남,67세,중상
2.02E+15,2019년 7월 8일 04시,월요일,서울특별시 종로구 종로2가,삼일대로,중상사고,0,2,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,22세,기타불명,화물,남,67세,중상
2.02E+15,2019년 5월 30일 02시,목요일,서울특별시 종로구 종로2가,종로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승용,남,28세,상해없음,보행자,남,67세,중상
2.02E+15,2019년 3월 13일 11시,수요일,서울특별시 종로구 삼청동,삼청로,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,62세,상해없음,보행자,남,67세,부상신고
2.02E+15,2019년 6월 11일 23시,화요일,서울특별시 종로구 종로3가,종로,중상사고,0,2,2,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,26세,부상신고,승용,남,67세,경상
2.02E+15,2019년 1월 11일 17시,금요일,서울특별시 종로구 종로4가,동순라길,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,67세,경상
2.02E+15,2019년 3월 3일 12시,일요일,서울특별시 종로구 종로5가,종로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,30세,상해없음,자전거,여,67세,중상
2.02E+15,2019년 7월 1일 15시,월요일,서울특별시 종로구 종로6가,율곡로,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,이륜,남,67세,중상
2.02E+15,2019년 10월 20일 14시,일요일,서울특별시 종로구 창신동,종로58길,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,62세,상해없음,보행자,여,67세,중상
2.02E+15,2019년 5월 31일 12시,금요일,서울특별시 종로구 창신동,종로,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,65세,상해없음,승용,남,67세,경상
2.02E+15,2019년 6월 9일 11시,일요일,서울특별시 종로구 숭인동,보문로,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,30세,상해없음,승용,남,67세,경상
2.02E+15,2019년 1월 28일 09시,월요일,서울특별시 종로구 세종로,사직로,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,승용,남,66세,경상
2.02E+15,2019년 11월 30일 14시,토요일,서울특별시 종로구 청진동,종로3길,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,63세,경상,승합,남,66세,상해없음
2.02E+15,2019년 6월 20일 14시,목요일,서울특별시 종로구 견지동,사직로,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,61세,상해없음,승용,남,66세,경상
2.02E+15,2019년 1월 5일 06시,토요일,서울특별시 종로구 운니동,율곡로,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,이륜,남,66세,경상
2.02E+15,2019년 8월 5일 17시,월요일,서울특별시 종로구 안국동,율곡로,경상사고,0,0,3,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,승용,남,66세,경상
2.02E+15,2019년 8월 28일 03시,수요일,서울특별시 종로구 원남동,율곡로,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,58세,상해없음,승용,남,66세,경상
2.02E+15,2019년 5월 23일 22시,목요일,서울특별시 종로구 종로5가,대학로,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,56세,경상,승용,남,66세,경상
